num,Participante,Lugar_admin,Modalidad,Edad,Género,Grupo,Validez,Creencia,ValidezxCreencia,Silogismo,Aceptación,Correctas
1913,240,Lógica y Epistemología UCC 2°,Resolución Individual Pre,19,F,27,V,C,VC,1,1,1
1914,240,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,27,V,I,VI,2,0,0
1915,240,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,27,I,C,IC,3,0,1
1916,240,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,27,I,I,II,4,0,1
1917,240,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,27,V,C,VC,5,1,1
1918,240,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,27,V,I,VI,6,0,0
1919,240,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,27,I,C,IC,7,1,0
1920,240,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,27,I,I,II,8,0,1
1921,240,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,27,V,C,VC,1,1,1
1922,240,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,27,V,I,VI,2,1,1
1923,240,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,27,I,C,IC,3,0,1
1924,240,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,27,I,I,II,4,0,1
1925,240,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,27,V,C,VC,5,1,1
1926,240,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,27,V,I,VI,6,1,1
1927,240,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,27,I,C,IC,7,0,1
1928,240,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,27,I,I,II,8,0,1
1929,241,Lógica y Epistemología UCC 2°,Resolución Individual Pre,19,F,27,V,C,VC,1,0,0
1930,241,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,27,V,I,VI,2,1,1
1931,241,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,27,I,C,IC,3,0,1
1932,241,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,27,I,I,II,4,0,1
1933,241,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,27,V,C,VC,5,1,1
1934,241,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,27,V,I,VI,6,1,1
1935,241,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,27,I,C,IC,7,1,0
1936,241,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,27,I,I,II,8,0,1
1937,241,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,27,V,C,VC,1,1,1
1938,241,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,27,V,I,VI,2,1,1
1939,241,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,27,I,C,IC,3,0,1
1940,241,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,27,I,I,II,4,0,1
1941,241,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,27,V,C,VC,5,1,1
1942,241,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,27,V,I,VI,6,1,1
1943,241,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,27,I,C,IC,7,1,0
1944,241,Lógica y Epistemología UCC 2°,Resolución Individual Post, , ,27,I,I,II,8,0,1
1945,242,Lógica y Epistemología UCC 2°,Resolución Individual Pre,19,F,27,V,C,VC,1,0,0
1946,242,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,27,V,I,VI,2,1,1
1947,242,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,27,I,C,IC,3,1,0
1948,242,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,27,I,I,II,4,0,1
1949,242,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,27,V,C,VC,5,0,0
1950,242,Lógica y Epistemología UCC 2°,Resolución Individual Pre, , ,27,V,I,VI,6,1,1
